source_dataset,source_vintage,source_file,country_id,country,indicator_id,indicator,scale,unit,year,rank,gdp_ppp_billions_intl_dollars
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,9,2980.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,10,2950.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,1,26730.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,2,21920.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,3,9650.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,4,5480.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,5,4740.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,RUS,Russian Federation,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,6,4230.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IDN,Indonesia,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,7,3610.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,8,3240.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,9,3220.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2021,10,3200.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,1,28780.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,2,22970.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,3,10610.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,4,5670.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,5,4990.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,RUS,Russian Federation,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,6,4400.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IDN,Indonesia,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,7,3870.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,8,3370.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,9,3390.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2022,10,3350.0
